text,rt,key_press,block_duration,timing_post_trial,trial_id,trial_type,trial_index,time_elapsed,internal_node_id,exp_id,full_screen,focus_shifts,view_history,mouse_click,stim_duration,exp_stage,stim,coded_response,trial_num,reference,stim_rating,reference_rating,responses,credit_var,subject
,1331.0,,1331.0,500.0,stim,single-stim-button,106,276093,0.0-105.0,dietary_decision,True,0,,Yes,1331.0,decision,100Grand,1.0,0.0,wwbrownie,"{""taste"":1,""health"":""NaN""}","{""taste"":1,""health"":1}",,,0
,3116.0,,3116.0,500.0,stim,single-stim-button,107,279713,0.0-106.0,dietary_decision,True,0,,Yes,3116.0,decision,Ghiradelli,1.0,1.0,wwbrownie,"{""taste"":1,""health"":-1}","{""taste"":1,""health"":1}",,,0
,1823.0,,1823.0,500.0,stim,single-stim-button,108,282044,0.0-107.0,dietary_decision,True,0,,Yes,1823.0,decision,grannysmith,1.0,2.0,wwbrownie,"{""taste"":1,""health"":2}","{""taste"":1,""health"":1}",,,0
,1199.0,,1199.0,500.0,stim,single-stim-button,109,283747,0.0-108.0,dietary_decision,True,0,,Yes,1199.0,decision,icecreamsandwich,1.0,3.0,wwbrownie,"{""taste"":1,""health"":-1}","{""taste"":1,""health"":1}",,,0
,2567.0,,2567.0,500.0,stim,single-stim-button,110,286829,0.0-109.0,dietary_decision,True,0,,No,2567.0,decision,wheatcrisps,-1.0,4.0,wwbrownie,"{""taste"":-1,""health"":1}","{""taste"":1,""health"":1}",,,0
,2388.0,,2388.0,500.0,stim,single-stim-button,111,289723,0.0-110.0,dietary_decision,True,0,,No,2388.0,decision,slimfastC,-1.0,5.0,wwbrownie,"{""taste"":-1,""health"":0}","{""taste"":1,""health"":1}",,,0
,1337.0,,1337.0,500.0,stim,single-stim-button,112,291572,0.0-111.0,dietary_decision,True,0,,Strong_Yes,1337.0,decision,laysclassic,2.0,6.0,wwbrownie,"{""taste"":1,""health"":-1}","{""taste"":1,""health"":1}",,,0
,1943.0,,1943.0,500.0,stim,single-stim-button,113,294031,0.0-112.0,dietary_decision,True,0,,Strong_No,1943.0,decision,blueberryyogart,-2.0,7.0,wwbrownie,"{""taste"":0,""health"":1}","{""taste"":1,""health"":1}",,,0
,1822.0,,1822.0,500.0,stim,single-stim-button,114,296357,0.0-113.0,dietary_decision,True,0,,Strong_No,1822.0,decision,cellery,-2.0,8.0,wwbrownie,"{""taste"":0,""health"":1}","{""taste"":1,""health"":1}",,,0
,1399.0,,1399.0,500.0,stim,single-stim-button,115,298263,0.0-114.0,dietary_decision,True,0,,Strong_Yes,1399.0,decision,cookiencream,2.0,9.0,wwbrownie,"{""taste"":2,""health"":-1}","{""taste"":1,""health"":1}",,,0
,1463.0,,1463.0,500.0,stim,single-stim-button,116,300228,0.0-115.0,dietary_decision,True,0,,Yes,1463.0,decision,redgrapes,1.0,10.0,wwbrownie,"{""taste"":1,""health"":2}","{""taste"":1,""health"":1}",,,0
,1799.0,,1799.0,500.0,stim,single-stim-button,117,302530,0.0-116.0,dietary_decision,True,0,,No,1799.0,decision,cranberries,-1.0,11.0,wwbrownie,"{""taste"":1,""health"":0}","{""taste"":1,""health"":1}",,,0
,3302.0,,3302.0,500.0,stim,single-stim-button,118,306336,0.0-117.0,dietary_decision,True,0,,Yes,3302.0,decision,sbcrackers,1.0,12.0,wwbrownie,"{""taste"":-1,""health"":1}","{""taste"":1,""health"":1}",,,0
,1589.0,,1589.0,500.0,stim,single-stim-button,119,308427,0.0-118.0,dietary_decision,True,0,,Yes,1589.0,decision,orangejello,1.0,13.0,wwbrownie,"{""taste"":1,""health"":0}","{""taste"":1,""health"":1}",,,0
,2088.0,,2088.0,500.0,stim,single-stim-button,120,311028,0.0-119.0,dietary_decision,True,0,,Yes,2088.0,decision,raisins,1.0,14.0,wwbrownie,"{""taste"":1,""health"":1}","{""taste"":1,""health"":1}",,,0
,1752.0,,1752.0,500.0,stim,single-stim-button,121,313293,0.0-120.0,dietary_decision,True,0,,Neutral,1752.0,decision,ruffles,0.0,15.0,wwbrownie,"{""taste"":0,""health"":1}","{""taste"":1,""health"":1}",,,0
,1648.0,,1648.0,500.0,stim,single-stim-button,122,315446,0.0-121.0,dietary_decision,True,0,,Yes,1648.0,decision,whitegrapes,1.0,16.0,wwbrownie,"{""taste"":1,""health"":2}","{""taste"":1,""health"":1}",,,0
,1417.0,,1417.0,500.0,stim,single-stim-button,123,317368,0.0-122.0,dietary_decision,True,0,,Strong_Yes,1417.0,decision,Oreos,2.0,17.0,wwbrownie,"{""taste"":""NaN"",""health"":-2}","{""taste"":1,""health"":1}",,,0
,2304.0,,2304.0,500.0,stim,single-stim-button,124,320180,0.0-123.0,dietary_decision,True,0,,Neutral,2304.0,decision,cherryicecream,0.0,18.0,wwbrownie,"{""taste"":1,""health"":1}","{""taste"":1,""health"":1}",,,0
,2761.0,,2761.0,500.0,stim,single-stim-button,125,323455,0.0-124.0,dietary_decision,True,0,,Strong_No,2761.0,decision,RiceKrispyTreat,-2.0,19.0,wwbrownie,"{""taste"":-1,""health"":1}","{""taste"":1,""health"":1}",,,0
,1301.0,,1301.0,500.0,stim,single-stim-button,126,325261,0.0-125.0,dietary_decision,True,0,,Yes,1301.0,decision,strawberries,1.0,20.0,wwbrownie,"{""taste"":1,""health"":2}","{""taste"":1,""health"":1}",,,0
,1494.0,,1494.0,500.0,stim,single-stim-button,127,327270,0.0-126.0,dietary_decision,True,0,,Yes,1494.0,decision,orange,1.0,21.0,wwbrownie,"{""taste"":1,""health"":2}","{""taste"":1,""health"":1}",,,0
,2710.0,,2710.0,500.0,stim,single-stim-button,128,330493,0.0-127.0,dietary_decision,True,0,,Yes,2710.0,decision,FamousAmos,1.0,22.0,wwbrownie,"{""taste"":1,""health"":-1}","{""taste"":1,""health"":1}",,,0
