text,rt,key_press,block_duration,timing_post_trial,trial_id,trial_type,trial_index,time_elapsed,internal_node_id,exp_id,full_screen,focus_shifts,view_history,mouse_click,stim_duration,exp_stage,stim,coded_response,trial_num,reference,stim_rating,reference_rating,responses,credit_var,subject
,1950.0,,1950.0,500.0,stim,single-stim-button,54,142394,0.0-53.0,dietary_decision,True,0,,Unhealthy,1950.0,health_rating,keeblerfudgestripes,-1.0,0.0,,,,,,0
,2615.0,,2615.0,500.0,stim,single-stim-button,55,145522,0.0-54.0,dietary_decision,True,0,,Healthy,2615.0,health_rating,specialKbar,1.0,1.0,,,,,,0
,1234.0,,1234.0,500.0,stim,single-stim-button,56,147271,0.0-55.0,dietary_decision,True,0,,Very_Healthy,1234.0,health_rating,brocollincauliflower,2.0,2.0,,,,,,0
,2408.0,,2408.0,500.0,stim,single-stim-button,57,150188,0.0-56.0,dietary_decision,True,0,,Healthy,2408.0,health_rating,ffraspsorbet,1.0,3.0,,,,,,0
,1974.0,,1974.0,500.0,stim,single-stim-button,58,152671,0.0-57.0,dietary_decision,True,0,,Very_Healthy,1974.0,health_rating,carrots,2.0,4.0,,,,,,0
,2210.0,,2210.0,500.0,stim,single-stim-button,59,155396,0.0-58.0,dietary_decision,True,0,,Neutral,2210.0,health_rating,strussel,0.0,5.0,,,,,,0
,1655.0,,1655.0,500.0,stim,single-stim-button,60,157555,0.0-59.0,dietary_decision,True,0,,Very_Healthy,1655.0,health_rating,reddelicious,2.0,6.0,,,,,,0
,786.0,,786.0,500.0,stim,single-stim-button,61,158846,0.0-60.0,dietary_decision,True,0,,Very_Healthy,786.0,health_rating,whitegrapes,2.0,7.0,,,,,,0
,1970.0,,1970.0,500.0,stim,single-stim-button,62,161326,0.0-61.0,dietary_decision,True,0,,Unhealthy,1970.0,health_rating,Ghiradelli,-1.0,8.0,,,,,,0
,2359.0,,2359.0,500.0,stim,single-stim-button,63,164194,0.0-62.0,dietary_decision,True,0,,Neutral,2359.0,health_rating,cranberries,0.0,9.0,,,,,,0
,1961.0,,1961.0,500.0,stim,single-stim-button,64,166660,0.0-63.0,dietary_decision,True,0,,Very_Unhealthy,1961.0,health_rating,uToberlorone,-2.0,10.0,,,,,,0
