text,rt,key_press,block_duration,timing_post_trial,trial_id,trial_type,trial_index,time_elapsed,internal_node_id,exp_id,full_screen,focus_shifts,view_history,mouse_click,stim_duration,exp_stage,stim,coded_response,trial_num,reference,stim_rating,reference_rating,responses,credit_var,subject
,1115.0,,1115.0,500.0,stim,single-stim-button,4,18006,0.0-3.0,dietary_decision,True,0,,Good,1115.0,taste_rating,Doritosranch,1.0,1.0,,,,,,0
,2167.0,,2167.0,500.0,stim,single-stim-button,5,20679,0.0-4.0,dietary_decision,True,0,,Good,2167.0,taste_rating,cherryicecream,1.0,2.0,,,,,,0
,1793.0,,1793.0,500.0,stim,single-stim-button,6,22987,0.0-5.0,dietary_decision,True,0,,Good,1793.0,taste_rating,whitegrapes,1.0,3.0,,,,,,0
,2983.0,,2983.0,500.0,stim,single-stim-button,7,26478,0.0-6.0,dietary_decision,True,0,,Good,2983.0,taste_rating,frozenyogart,1.0,4.0,,,,,,0
,1394.0,,1394.0,500.0,stim,single-stim-button,8,28387,0.0-7.0,dietary_decision,True,0,,Good,1394.0,taste_rating,redgrapes,1.0,5.0,,,,,,0
,1141.0,,1141.0,500.0,stim,single-stim-button,9,30041,0.0-8.0,dietary_decision,True,0,,Good,1141.0,taste_rating,orange,1.0,6.0,,,,,,0
,2159.0,,2159.0,500.0,stim,single-stim-button,10,32713,0.0-9.0,dietary_decision,True,0,,Good,2159.0,taste_rating,cranberries,1.0,7.0,,,,,,0
,2274.0,,2274.0,500.0,stim,single-stim-button,11,35489,0.0-10.0,dietary_decision,True,0,,Bad,2274.0,taste_rating,slimfastC,-1.0,8.0,,,,,,0
,1586.0,,1586.0,500.0,stim,single-stim-button,12,37579,0.0-11.0,dietary_decision,True,0,,Very_Good,1586.0,taste_rating,KitKat,2.0,9.0,,,,,,0
,1723.0,,1723.0,500.0,stim,single-stim-button,13,39809,0.0-12.0,dietary_decision,True,0,,Neutral,1723.0,taste_rating,cellery,0.0,10.0,,,,,,0
,1948.0,,1948.0,500.0,stim,single-stim-button,14,42269,0.0-13.0,dietary_decision,True,0,,Good,1948.0,taste_rating,icecreamsandwich,1.0,11.0,,,,,,0
,1414.0,,1414.0,500.0,stim,single-stim-button,15,44198,0.0-14.0,dietary_decision,True,0,,Good,1414.0,taste_rating,reddelicious,1.0,12.0,,,,,,0
,2329.0,,2329.0,500.0,stim,single-stim-button,16,47033,0.0-15.0,dietary_decision,True,0,,Neutral,2329.0,taste_rating,wwmuffin,0.0,13.0,,,,,,0
,1976.0,,1976.0,500.0,stim,single-stim-button,17,49510,0.0-16.0,dietary_decision,True,0,,Very_Bad,1976.0,taste_rating,brocollincauliflower,-2.0,14.0,,,,,,0
,2580.0,,2580.0,500.0,stim,single-stim-button,18,52601,0.0-17.0,dietary_decision,True,0,,Neutral,2580.0,taste_rating,specialKbar,0.0,15.0,,,,,,0
,2246.0,,2246.0,500.0,stim,single-stim-button,19,55351,0.0-18.0,dietary_decision,True,0,,Good,2246.0,taste_rating,raisins,1.0,16.0,,,,,,0
,1884.0,,1884.0,500.0,stim,single-stim-button,20,57740,0.0-19.0,dietary_decision,True,0,,Good,1884.0,taste_rating,banana,1.0,17.0,,,,,,0
,3513.0,,3513.0,500.0,stim,single-stim-button,21,61755,0.0-20.0,dietary_decision,True,0,,Good,3513.0,taste_rating,wwbrownie,1.0,18.0,,,,,,0
,1986.0,,1986.0,500.0,stim,single-stim-button,22,64254,0.0-21.0,dietary_decision,True,0,,Very_Good,1986.0,taste_rating,cookiencream,2.0,19.0,,,,,,0
