"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","mouse_click","stim_duration","exp_stage","stim","coded_response","trial_num","reference","stim_rating","reference_rating","responses","credit_var"
"<div class = centerbox><p class = ""center-block-text"">Welcome to the experiment. This task will take around 15 minutes. Press <strong>enter</strong> to begin.</p></div>","2804","13","2804","0","instruction","poldrack-text","0","2804","0.0-0.0-0.0","dietary_decision","true","0","","","","","","","","","","","",""
"","1201","","","","instruction","poldrack-instructions","1","4006","0.0-0.0-1.0","dietary_decision","true","0","[{""page_index"":0,""viewing_time"":1201}]","","","","","","","","","","",""
"<div class = centerbox><p class = ""center-block-text"">In the next block of trials, rate the healthiness of each food item without regard for its taste. Press <strong>enter</strong> to begin.</p></div>","4124","13","4124","500","start_health","poldrack-text","2","9133","0.0-1.0","dietary_decision","true","0","","","","","","","","","","","",""
"","3163","","3163","500","stim","single-stim-button","3","12799","0.0-2.0","dietary_decision","true","0","","Neutral","3163","health_rating","orangejello","0","0","","","","",""
"","3450","","3450","500","stim","single-stim-button","4","16750","0.0-3.0","dietary_decision","true","0","","Unhealthy","3450","health_rating","icecreamsandwich","-1","1","","","","",""
"","3204","","3204","500","stim","single-stim-button","5","20455","0.0-4.0","dietary_decision","true","0","","Neutral","3204","health_rating","cookiencream","0","2","","","","",""
"","-1","","4000","500","stim","single-stim-button","6","24960","0.0-5.0","dietary_decision","true","0","","-1","4000","health_rating","ruffles","NaN","3","","","","",""
"","-1","","4000","500","stim","single-stim-button","7","29467","0.0-6.0","dietary_decision","true","0","","-1","4000","health_rating","Reeses","NaN","4","","","","",""
"","1982","","1982","500","stim","single-stim-button","8","31952","0.0-7.0","dietary_decision","true","0","","Very_Healthy","1982","health_rating","whitegrapes","2","5","","","","",""
"","1440","","1440","500","stim","single-stim-button","9","33894","0.0-8.0","dietary_decision","true","0","","Neutral","1440","health_rating","strussel","0","6","","","","",""
"","1082","","1082","500","stim","single-stim-button","10","35478","0.0-9.0","dietary_decision","true","0","","Neutral","1082","health_rating","wwbrownie","0","7","","","","",""
"","794","","794","500","stim","single-stim-button","11","36774","0.0-10.0","dietary_decision","true","0","","Neutral","794","health_rating","mixedyogart","0","8","","","","",""
"","2221","","2221","500","stim","single-stim-button","12","39497","0.0-11.0","dietary_decision","true","0","","Very_Healthy","2221","health_rating","cellery","2","9","","","","",""
"","1005","","1005","500","stim","single-stim-button","13","41004","0.0-12.0","dietary_decision","true","0","","Neutral","1005","health_rating","Ghiradelli","0","10","","","","",""
"","624","","624","500","stim","single-stim-button","14","42130","0.0-13.0","dietary_decision","true","0","","Neutral","624","health_rating","sbcrackers","0","11","","","","",""
"","1079","","1079","500","stim","single-stim-button","15","43711","0.0-14.0","dietary_decision","true","0","","Very_Healthy","1079","health_rating","redgrapes","2","12","","","","",""
"","879","","879","500","stim","single-stim-button","16","45092","0.0-15.0","dietary_decision","true","0","","Neutral","879","health_rating","keeblerrainbow","0","13","","","","",""
"","856","","856","500","stim","single-stim-button","17","46450","0.0-16.0","dietary_decision","true","0","","Neutral","856","health_rating","Oreos","0","14","","","","",""
"","1613","","1613","500","stim","single-stim-button","18","48564","0.0-17.0","dietary_decision","true","0","","Very_Healthy","1613","health_rating","brocollincauliflower","2","15","","","","",""
"","1547","","1547","500","stim","single-stim-button","19","50612","0.0-18.0","dietary_decision","true","0","","Very_Healthy","1547","health_rating","strawberries","2","16","","","","",""
"","2197","","2197","500","stim","single-stim-button","20","53310","0.0-19.0","dietary_decision","true","0","","Healthy","2197","health_rating","slimfastV","1","17","","","","",""
"","1315","","1315","500","stim","single-stim-button","21","55126","0.0-20.0","dietary_decision","true","0","","Neutral","1315","health_rating","RiceKrispyTreat","0","18","","","","",""
"","594","","594","500","stim","single-stim-button","22","56221","0.0-21.0","dietary_decision","true","0","","Neutral","594","health_rating","KitKat","0","19","","","","",""
"","2177","","2177","500","stim","single-stim-button","23","58900","0.0-22.0","dietary_decision","true","0","","Unhealthy","2177","health_rating","wwmuffin","-1","20","","","","",""
"","1604","","1604","500","stim","single-stim-button","24","61005","0.0-23.0","dietary_decision","true","0","","Unhealthy","1604","health_rating","cherryicecream","-1","21","","","","",""
