"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","mouse_click","stim_duration","exp_stage","stim","coded_response","trial_num","reference","stim_rating","reference_rating","responses","credit_var"
"<div class = centerbox><p class = ""center-block-text"">Welcome to the experiment. This task will take around 15 minutes. Press <strong>enter</strong> to begin.</p></div>","7267","13","7267","0","instruction","poldrack-text","0","7269","0.0-0.0-0.0","dietary_decision","true","0","","","","","","","","","","","",""
"","2857","","","","instruction","poldrack-instructions","1","10126","0.0-0.0-1.0","dietary_decision","true","0","[{""page_index"":0,""viewing_time"":2856}]","","","","","","","","","","",""
"<div class = centerbox><p class = ""center-block-text"">In the next block of trials, rate the tastiness of each food item without regard for its healthiness. Press <strong>enter</strong> to begin.</p></div>","34","13","34","500","start_taste","poldrack-text","2","11163","0.0-1.0","dietary_decision","true","0","","","","","","","","","","","",""
"","-1","","4000","500","stim","single-stim-button","3","15668","0.0-2.0","dietary_decision","true","0","","-1","4000","taste_rating","MrsFields","NaN","0","","","","",""
"","2491","","2491","500","stim","single-stim-button","4","18662","0.0-3.0","dietary_decision","true","0","","Very_Bad","2491","taste_rating","laysclassic","-2","1","","","","",""
"","1378","","1378","500","stim","single-stim-button","5","20541","0.0-4.0","dietary_decision","true","0","","Very_Bad","1378","taste_rating","cellery","-2","2","","","","",""
"","1939","","1939","500","stim","single-stim-button","6","22982","0.0-5.0","dietary_decision","true","0","","Good","1939","taste_rating","banana","1","3","","","","",""
"","2340","","2340","500","stim","single-stim-button","7","25824","0.0-6.0","dietary_decision","true","0","","Good","2340","taste_rating","specialKbar","1","4","","","","",""
"","2494","","2494","500","stim","single-stim-button","8","28819","0.0-7.0","dietary_decision","true","0","","Good","2494","taste_rating","wheatcrisps","1","5","","","","",""
"","2129","","2129","500","stim","single-stim-button","9","31449","0.0-8.0","dietary_decision","true","0","","Very_Bad","2129","taste_rating","wwmuffin","-2","6","","","","",""
"","1782","","1782","500","stim","single-stim-button","10","33733","0.0-9.0","dietary_decision","true","0","","Very_Bad","1782","taste_rating","icecreamsandwich","-2","7","","","","",""
"","1911","","1911","500","stim","single-stim-button","11","36145","0.0-10.0","dietary_decision","true","0","","Very_Good","1911","taste_rating","reddelicious","2","8","","","","",""
