"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","mouse_click","stim_duration","exp_stage","stim","coded_response","trial_num","reference","stim_rating","reference_rating","responses","credit_var"
"<div class = centerbox><p class = ""center-block-text"">Welcome to the experiment. This task will take around 15 minutes. Press <strong>enter</strong> to begin.</p></div>","4438","13","4438","0","instruction","poldrack-text","0","4439","0.0-0.0-0.0","dietary_decision","true","0","","","","","","","","","","","",""
"","10517","","","","instruction","poldrack-instructions","1","14957","0.0-0.0-1.0","dietary_decision","true","0","[{""page_index"":0,""viewing_time"":10517}]","","","","","","","","","","",""
"<div class = centerbox><p class = ""center-block-text"">In the next block of trials, rate the healthiness of each food item without regard for its taste. Press <strong>enter</strong> to begin.</p></div>","12065","13","12065","500","start_health","poldrack-text","2","28025","0.0-1.0","dietary_decision","true","0","","","","","","","","","","","",""
"","-1","","4000","500","stim","single-stim-button","3","32542","0.0-2.0","dietary_decision","true","0","","-1","4000","health_rating","Reeses","NaN","0","","","","",""
"","2539","","2539","500","stim","single-stim-button","4","35588","0.0-3.0","dietary_decision","true","0","","Very_Unhealthy","2539","health_rating","uTwix","-2","1","","","","",""
"","1642","","1642","500","stim","single-stim-button","5","37743","0.0-4.0","dietary_decision","true","0","","Unhealthy","1642","health_rating","butterfinger","-1","2","","","","",""
"","1448","","1448","500","stim","single-stim-button","6","39705","0.0-5.0","dietary_decision","true","0","","Unhealthy","1448","health_rating","uToberlorone","-1","3","","","","",""
"","2437","","2437","500","stim","single-stim-button","7","42656","0.0-6.0","dietary_decision","true","0","","Healthy","2437","health_rating","Lindt","1","4","","","","",""
"","1228","","1228","500","stim","single-stim-button","8","44396","0.0-7.0","dietary_decision","true","0","","Healthy","1228","health_rating","reddelicious","1","5","","","","",""
"","2885","","2885","500","stim","single-stim-button","9","47784","0.0-8.0","dietary_decision","true","0","","Neutral","2885","health_rating","carrots","0","6","","","","",""
"","1749","","1749","500","stim","single-stim-button","10","50046","0.0-9.0","dietary_decision","true","0","","Healthy","1749","health_rating","frozenyogart","1","7","","","","",""
"","1801","","1801","500","stim","single-stim-button","11","52353","0.0-10.0","dietary_decision","true","0","","Unhealthy","1801","health_rating","Oreos","-1","8","","","","",""
"","2334","","2334","500","stim","single-stim-button","12","55199","0.0-11.0","dietary_decision","true","0","","Unhealthy","2334","health_rating","wwbrownie","-1","9","","","","",""
"","2112","","2112","500","stim","single-stim-button","13","57821","0.0-12.0","dietary_decision","true","0","","Unhealthy","2112","health_rating","cherryicecream","-1","10","","","","",""
"","3313","","3313","500","stim","single-stim-button","14","61641","0.0-13.0","dietary_decision","true","0","","Neutral","3313","health_rating","brocollincauliflower","0","11","","","","",""
"","1073","","1073","500","stim","single-stim-button","15","63227","0.0-14.0","dietary_decision","true","0","","Healthy","1073","health_rating","whitegrapes","1","12","","","","",""
"","2416","","2416","500","stim","single-stim-button","16","66145","0.0-15.0","dietary_decision","true","0","","Healthy","2416","health_rating","mixedyogart","1","13","","","","",""
"","1329","","1329","500","stim","single-stim-button","17","67979","0.0-16.0","dietary_decision","true","0","","Very_Healthy","1329","health_rating","grannysmith","2","14","","","","",""
"","2347","","2347","500","stim","single-stim-button","18","70834","0.0-17.0","dietary_decision","true","0","","Unhealthy","2347","health_rating","strussel","-1","15","","","","",""
"","2060","","2060","500","stim","single-stim-button","19","73408","0.0-18.0","dietary_decision","true","0","","Very_Unhealthy","2060","health_rating","icecreamsandwich","-2","16","","","","",""
"","2712","","2712","500","stim","single-stim-button","20","76633","0.0-19.0","dietary_decision","true","0","","Neutral","2712","health_rating","cellery","0","17","","","","",""
"","3983","","3983","500","stim","single-stim-button","21","81120","0.0-20.0","dietary_decision","true","0","","Neutral","3983","health_rating","sbcrackers","0","18","","","","",""
"","2855","","2855","500","stim","single-stim-button","22","84489","0.0-21.0","dietary_decision","true","0","","Neutral","2855","health_rating","slimfastC","0","19","","","","",""
"","1612","","1612","500","stim","single-stim-button","23","86608","0.0-22.0","dietary_decision","true","0","","Unhealthy","1612","health_rating","keeblerrainbow","-1","20","","","","",""
"","1744","","1744","500","stim","single-stim-button","24","88862","0.0-23.0","dietary_decision","true","0","","Very_Healthy","1744","health_rating","strawberries","2","21","","","","",""
"","2185","","2185","500","stim","single-stim-button","25","91559","0.0-24.0","dietary_decision","true","0","","Very_Unhealthy","2185","health_rating","specialKbar","-2","22","","","","",""
