text,rt,key_press,block_duration,timing_post_trial,trial_id,trial_type,trial_index,time_elapsed,internal_node_id,exp_id,full_screen,focus_shifts,view_history,mouse_click,stim_duration,exp_stage,stim,coded_response,trial_num,reference,stim_rating,reference_rating,responses,credit_var
<div class = centerbox><p class = "center-block-text">Welcome to the experiment. This task will take around 15 minutes. Press <strong>enter</strong> to begin.</p></div>,9428,13,9428,0,instruction,poldrack-text,0,9428,0.0-0.0-0.0,dietary_decision,TRUE,1,,,,,,,,,,,,
,5928,,,,instruction,poldrack-instructions,1,15357,0.0-0.0-1.0,dietary_decision,TRUE,0,"[{""page_index"":0,""viewing_time"":5927}]",,,,,,,,,,,
"<div class = centerbox><p class = ""center-block-text"">In the next block of trials, rate the healthiness of each food item without regard for its taste. Press <strong>enter</strong> to begin.</p></div>",3007,13,3007,500,start_health,poldrack-text,2,19369,0.0-1.0,dietary_decision,TRUE,0,,,,,,,,,,,,
,-1,,4000,500,stim,single-stim-button,3,23882,0.0-2.0,dietary_decision,TRUE,0,,-1,4000,health_rating,Ghiradelli,NaN,0,,,,,
,-1,,4000,500,stim,single-stim-button,4,28402,0.0-3.0,dietary_decision,TRUE,0,,-1,4000,health_rating,brocollincauliflower,NaN,1,,,,,
,-1,,4000,500,stim,single-stim-button,5,32919,0.0-4.0,dietary_decision,TRUE,0,,-1,4000,health_rating,100Grand,NaN,2,,,,,
,2612,,2612,500,stim,single-stim-button,6,36042,0.0-5.0,dietary_decision,TRUE,0,,Neutral,2612,health_rating,uToberlorone,0,3,,,,,
,3454,,3454,500,stim,single-stim-button,7,40001,0.0-6.0,dietary_decision,TRUE,0,,Neutral,3454,health_rating,sbcrackers,0,4,,,,,
,2219,,2219,500,stim,single-stim-button,8,42728,0.0-7.0,dietary_decision,TRUE,0,,Very_Healthy,2219,health_rating,redgrapes,2,5,,,,,
,2475,,2475,500,stim,single-stim-button,9,45711,0.0-8.0,dietary_decision,TRUE,0,,Very_Unhealthy,2475,health_rating,Reeses,-2,6,,,,,
,1960,,1960,500,stim,single-stim-button,10,48183,0.0-9.0,dietary_decision,TRUE,0,,Very_Unhealthy,1960,health_rating,icecreamsandwich,-2,7,,,,,
,1404,,1404,500,stim,single-stim-button,11,50101,0.0-10.0,dietary_decision,TRUE,0,,Very_Unhealthy,1404,health_rating,ChipsAhoy,-2,8,,,,,
,2104,,2104,500,stim,single-stim-button,12,52717,0.0-11.0,dietary_decision,TRUE,0,,Unhealthy,2104,health_rating,Doritosranch,-1,9,,,,,
,2910,,2910,500,stim,single-stim-button,13,56142,0.0-12.0,dietary_decision,TRUE,0,,Neutral,2910,health_rating,wheatcrisps,0,10,,,,,
,2736,,2736,500,stim,single-stim-button,14,59392,0.0-13.0,dietary_decision,TRUE,0,,Neutral,2736,health_rating,wwbrownie,0,11,,,,,
,2164,,2164,500,stim,single-stim-button,15,62068,0.0-14.0,dietary_decision,TRUE,0,,Unhealthy,2164,health_rating,butterfinger,-1,12,,,,,
,3828,,3828,500,stim,single-stim-button,16,66402,0.0-15.0,dietary_decision,TRUE,0,,Unhealthy,3828,health_rating,cookies,-1,13,,,,,
,2069,,2069,500,stim,single-stim-button,17,68979,0.0-16.0,dietary_decision,TRUE,0,,Unhealthy,2069,health_rating,orangejello,-1,14,,,,,
,2398,,2398,500,stim,single-stim-button,18,71892,0.0-17.0,dietary_decision,TRUE,0,,Very_Healthy,2398,health_rating,orange,2,15,,,,,
,3752,,3752,500,stim,single-stim-button,19,76154,0.0-18.0,dietary_decision,TRUE,0,,Neutral,3752,health_rating,slimfastV,0,16,,,,,
,-1,,4000,500,stim,single-stim-button,20,80664,0.0-19.0,dietary_decision,TRUE,0,,-1,4000,health_rating,cellery,NaN,17,,,,,
,1990,,1990,500,stim,single-stim-button,21,83166,0.0-20.0,dietary_decision,TRUE,0,,Very_Healthy,1990,health_rating,banana,2,18,,,,,
,1865,,1865,500,stim,single-stim-button,22,85541,0.0-21.0,dietary_decision,TRUE,0,,Very_Healthy,1865,health_rating,specialKbar,2,19,,,,,
,3439,,3439,500,stim,single-stim-button,23,89493,0.0-22.0,dietary_decision,TRUE,0,,Unhealthy,3439,health_rating,keeblerfudgestripes,-1,20,,,,,
,1746,,1746,500,stim,single-stim-button,24,91749,0.0-23.0,dietary_decision,TRUE,0,,Unhealthy,1746,health_rating,MrsFields,-1,21,,,,,
,3237,,3237,500,stim,single-stim-button,25,95491,0.0-24.0,dietary_decision,TRUE,0,,Unhealthy,3237,health_rating,cookiencream,-1,22,,,,,
,1111,,1111,500,stim,single-stim-button,26,97115,0.0-25.0,dietary_decision,TRUE,0,,Unhealthy,1111,health_rating,uTwix,-1,23,,,,,
,1011,,1011,500,stim,single-stim-button,27,98638,0.0-26.0,dietary_decision,TRUE,0,,Unhealthy,1011,health_rating,FlamingCheetos,-1,24,,,,,
,1165,,1165,500,stim,single-stim-button,28,100313,0.0-27.0,dietary_decision,TRUE,0,,Unhealthy,1165,health_rating,strussel,-1,25,,,,,
,-1,,4000,500,stim,single-stim-button,29,104831,0.0-28.0,dietary_decision,TRUE,0,,-1,4000,health_rating,HoHo,NaN,26,,,,,
,-1,,4000,500,stim,single-stim-button,30,109345,0.0-29.0,dietary_decision,TRUE,0,,-1,4000,health_rating,sbdietbar,NaN,27,,,,,
,1388,,1388,500,stim,single-stim-button,31,111245,0.0-30.0,dietary_decision,TRUE,0,,Unhealthy,1388,health_rating,wwmuffin,-1,28,,,,,
,1909,,1909,500,stim,single-stim-button,32,113666,0.0-31.0,dietary_decision,TRUE,0,,Very_Unhealthy,1909,health_rating,blueberryyogart,-2,29,,,,,
,1981,,1981,500,stim,single-stim-button,33,116161,0.0-32.0,dietary_decision,TRUE,0,,Very_Healthy,1981,health_rating,frozenyogart,2,30,,,,,
,1151,,1151,500,stim,single-stim-button,34,117823,0.0-33.0,dietary_decision,TRUE,0,,Very_Healthy,1151,health_rating,grannysmith,2,31,,,,,
,1993,,1993,500,stim,single-stim-button,35,120322,0.0-34.0,dietary_decision,TRUE,0,,Unhealthy,1993,health_rating,slimfastC,-1,32,,,,,
,2183,,2183,500,stim,single-stim-button,36,123018,0.0-35.0,dietary_decision,TRUE,0,,Very_Healthy,2183,health_rating,cranberries,2,33,,,,,
,2875,,2875,500,stim,single-stim-button,37,126402,0.0-36.0,dietary_decision,TRUE,0,,Neutral,2875,health_rating,ruffles,0,34,,,,,
,2553,,2553,500,stim,single-stim-button,38,129468,0.0-37.0,dietary_decision,TRUE,0,,Healthy,2553,health_rating,RiceKrispyTreat,1,35,,,,,
,2062,,2062,500,stim,single-stim-button,39,132042,0.0-38.0,dietary_decision,TRUE,0,,Very_Healthy,2062,health_rating,whitegrapes,2,36,,,,,
,1031,,1031,500,stim,single-stim-button,40,133584,0.0-39.0,dietary_decision,TRUE,0,,Very_Healthy,1031,health_rating,reddelicious,2,37,,,,,
