"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","mouse_click","stim_duration","exp_stage","stim","coded_response","trial_num","reference","stim_rating","reference_rating","responses","credit_var"
"<div class = centerbox><p class = ""center-block-text"">Welcome to the experiment. This task will take around 15 minutes. Press <strong>enter</strong> to begin.</p></div>","1999","13","1999","0","instruction","poldrack-text","0","2000","0.0-0.0-0.0","dietary_decision","true","0","","","","","","","","","","","",""
"","11395","","","","instruction","poldrack-instructions","1","13395","0.0-0.0-1.0","dietary_decision","true","0","[{""page_index"":0,""viewing_time"":11395}]","","","","","","","","","","",""
"<div class = centerbox><p class = ""center-block-text"">In the next block of trials, rate the tastiness of each food item without regard for its healthiness. Press <strong>enter</strong> to begin.</p></div>","8983","13","8983","500","start_taste","poldrack-text","2","23382","0.0-1.0","dietary_decision","true","0","","","","","","","","","","","",""
"","3349","","3349","500","stim","single-stim-button","3","27246","0.0-2.0","dietary_decision","true","0","","Very_Good","3349","taste_rating","uTwix","2","0","","","","",""
"","-1","","4000","500","stim","single-stim-button","4","31758","0.0-3.0","dietary_decision","true","0","","-1","4000","taste_rating","sbcrackers","NaN","1","","","","",""
"","2886","","2886","500","stim","single-stim-button","5","35148","0.0-4.0","dietary_decision","true","0","","Very_Bad","2886","taste_rating","slimfastC","-2","2","","","","",""
"","3248","","3248","500","stim","single-stim-button","6","38911","0.0-5.0","dietary_decision","true","0","","Neutral","3248","taste_rating","keeblerrainbow","0","3","","","","",""
"","2312","","2312","500","stim","single-stim-button","7","41737","0.0-6.0","dietary_decision","true","0","","Bad","2312","taste_rating","butterfinger","-1","4","","","","",""
"","1784","","1784","500","stim","single-stim-button","8","44021","0.0-7.0","dietary_decision","true","0","","Very_Good","1784","taste_rating","Lindt","2","5","","","","",""
"","1537","","1537","500","stim","single-stim-button","9","46069","0.0-8.0","dietary_decision","true","0","","Very_Good","1537","taste_rating","100Grand","2","6","","","","",""
"","1717","","1717","500","stim","single-stim-button","10","48301","0.0-9.0","dietary_decision","true","0","","Neutral","1717","taste_rating","reddelicious","0","7","","","","",""
"","2345","","2345","500","stim","single-stim-button","11","51162","0.0-10.0","dietary_decision","true","0","","Neutral","2345","taste_rating","keeblerfudgestripes","0","8","","","","",""
"","1668","","1668","500","stim","single-stim-button","12","53333","0.0-11.0","dietary_decision","true","0","","Neutral","1668","taste_rating","whitegrapes","0","9","","","","",""
"","3284","","3284","500","stim","single-stim-button","13","57122","0.0-12.0","dietary_decision","true","0","","Good","3284","taste_rating","raisins","1","10","","","","",""
"","1902","","1902","500","stim","single-stim-button","14","59527","0.0-13.0","dietary_decision","true","0","","Good","1902","taste_rating","Oreos","1","11","","","","",""
"","1073","","1073","500","stim","single-stim-button","15","61104","0.0-14.0","dietary_decision","true","0","","Good","1073","taste_rating","KitKat","1","12","","","","",""
"","1186","","1186","500","stim","single-stim-button","16","62795","0.0-15.0","dietary_decision","true","0","","Good","1186","taste_rating","uToberlorone","1","13","","","","",""
"","1887","","1887","500","stim","single-stim-button","17","65187","0.0-16.0","dietary_decision","true","0","","Good","1887","taste_rating","cookies","1","14","","","","",""
"","1219","","1219","500","stim","single-stim-button","18","66906","0.0-17.0","dietary_decision","true","0","","Good","1219","taste_rating","blueberryyogart","1","15","","","","",""
