"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","mouse_click","stim_duration","exp_stage","stim","coded_response","trial_num","reference","stim_rating","reference_rating","responses","credit_var"
"<div class = centerbox><p class = ""center-block-text"">Welcome to the experiment. This task will take around 15 minutes. Press <strong>enter</strong> to begin.</p></div>","73191","13","73191","0","instruction","poldrack-text","0","73194","0.0-0.0-0.0","dietary_decision","true","2","","","","","","","","","","","",""
"","9982","","","","instruction","poldrack-instructions","1","83178","0.0-0.0-1.0","dietary_decision","true","1","[{""page_index"":0,""viewing_time"":9981}]","","","","","","","","","","",""
"<div class = centerbox><p class = ""center-block-text"">In the next block of trials, rate the healthiness of each food item without regard for its taste. Press <strong>enter</strong> to begin.</p></div>","2563","13","2563","500","start_health","poldrack-text","2","86753","0.0-1.0","dietary_decision","true","0","","","","","","","","","","","",""
"","-1","","4000","500","stim","single-stim-button","3","91265","0.0-2.0","dietary_decision","true","0","","-1","4000","health_rating","Ghiradelli","NaN","0","","","","",""
"","2005","","2005","500","stim","single-stim-button","4","93781","0.0-3.0","dietary_decision","true","0","","Neutral","2005","health_rating","icecreamsandwich","0","1","","","","",""
"","985","","985","500","stim","single-stim-button","5","95281","0.0-4.0","dietary_decision","true","0","","Healthy","985","health_rating","whitegrapes","1","2","","","","",""
"","1870","","1870","500","stim","single-stim-button","6","97660","0.0-5.0","dietary_decision","true","0","","Unhealthy","1870","health_rating","ChipsAhoy","-1","3","","","","",""
"","2450","","2450","500","stim","single-stim-button","7","100619","0.0-6.0","dietary_decision","true","0","","Healthy","2450","health_rating","reddelicious","1","4","","","","",""
"","2043","","2043","500","stim","single-stim-button","8","103173","0.0-7.0","dietary_decision","true","0","","Unhealthy","2043","health_rating","Doritosranch","-1","5","","","","",""
"","1392","","1392","500","stim","single-stim-button","9","105080","0.0-8.0","dietary_decision","true","0","","Neutral","1392","health_rating","raisins","0","6","","","","",""
"","1329","","1329","500","stim","single-stim-button","10","106910","0.0-9.0","dietary_decision","true","0","","Unhealthy","1329","health_rating","Oreos","-1","7","","","","",""
"","989","","989","500","stim","single-stim-button","11","108401","0.0-10.0","dietary_decision","true","0","","Unhealthy","989","health_rating","cookiencream","-1","8","","","","",""
"","969","","969","500","stim","single-stim-button","12","109883","0.0-11.0","dietary_decision","true","0","","Unhealthy","969","health_rating","wwbrownie","-1","9","","","","",""
"","1813","","1813","500","stim","single-stim-button","13","112209","0.0-12.0","dietary_decision","true","0","","Healthy","1813","health_rating","strawberries","1","10","","","","",""
"","1047","","1047","500","stim","single-stim-button","14","113768","0.0-13.0","dietary_decision","true","0","","Unhealthy","1047","health_rating","strussel","-1","11","","","","",""
"","1470","","1470","500","stim","single-stim-button","15","115753","0.0-14.0","dietary_decision","true","0","","Neutral","1470","health_rating","MrsFields","0","12","","","","",""
"","1064","","1064","500","stim","single-stim-button","16","117328","0.0-15.0","dietary_decision","true","0","","Unhealthy","1064","health_rating","laysclassic","-1","13","","","","",""
"","1161","","1161","500","stim","single-stim-button","17","118998","0.0-16.0","dietary_decision","true","0","","Unhealthy","1161","health_rating","redgrapes","-1","14","","","","",""
"","2094","","2094","500","stim","single-stim-button","18","121606","0.0-17.0","dietary_decision","true","0","","Unhealthy","2094","health_rating","HoHo","-1","15","","","","",""
"","1170","","1170","500","stim","single-stim-button","19","123283","0.0-18.0","dietary_decision","true","0","","Unhealthy","1170","health_rating","frozenyogart","-1","16","","","","",""
"","1622","","1622","500","stim","single-stim-button","20","125421","0.0-19.0","dietary_decision","true","0","","Unhealthy","1622","health_rating","orangejello","-1","17","","","","",""
"","2296","","2296","500","stim","single-stim-button","21","128231","0.0-20.0","dietary_decision","true","0","","Unhealthy","2296","health_rating","KitKat","-1","18","","","","",""
"","847","","847","500","stim","single-stim-button","22","129583","0.0-21.0","dietary_decision","true","0","","Unhealthy","847","health_rating","sbcrackers","-1","19","","","","",""
