"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","mouse_click","stim_duration","exp_stage","stim","coded_response","trial_num","reference","stim_rating","reference_rating","responses","credit_var"
"<div class = centerbox><p class = ""center-block-text"">Welcome to the experiment. This task will take around 15 minutes. Press <strong>enter</strong> to begin.</p></div>","-1","-1","180000","0","instruction","poldrack-text","0","180003","0.0-0.0-0.0","dietary_decision","true","1","","","","","","","","","","","",""
"","3395425","","","","instruction","poldrack-instructions","1","3575428","0.0-0.0-1.0","dietary_decision","true","3","[{""page_index"":0,""viewing_time"":3395423}]","","","","","","","","","","",""
"<div class = centerbox><p class = ""center-block-text"">In the next block of trials, rate the healthiness of each food item without regard for its taste. Press <strong>enter</strong> to begin.</p></div>","1662","13","1662","500","start_health","poldrack-text","2","3578094","0.0-1.0","dietary_decision","true","0","","","","","","","","","","","",""
"","1753","","1753","500","stim","single-stim-button","3","3580350","0.0-2.0","dietary_decision","true","0","","Unhealthy","1753","health_rating","wheatcrisps","-1","0","","","","",""
"","2241","","2241","500","stim","single-stim-button","4","3583091","0.0-3.0","dietary_decision","true","0","","Unhealthy","2241","health_rating","sbdietbar","-1","1","","","","",""
"","1384","","1384","500","stim","single-stim-button","5","3584977","0.0-4.0","dietary_decision","true","0","","Unhealthy","1384","health_rating","butterfinger","-1","2","","","","",""
"","1521","","1521","500","stim","single-stim-button","6","3587000","0.0-5.0","dietary_decision","true","0","","Unhealthy","1521","health_rating","cookies","-1","3","","","","",""
"","972","","972","500","stim","single-stim-button","7","3588473","0.0-6.0","dietary_decision","true","0","","Unhealthy","972","health_rating","Doritosranch","-1","4","","","","",""
"","784","","784","500","stim","single-stim-button","8","3589757","0.0-7.0","dietary_decision","true","0","","Neutral","784","health_rating","raisins","0","5","","","","",""
"","1489","","1489","500","stim","single-stim-button","9","3591748","0.0-8.0","dietary_decision","true","0","","Healthy","1489","health_rating","redgrapes","1","6","","","","",""
"","1231","","1231","500","stim","single-stim-button","10","3593480","0.0-9.0","dietary_decision","true","0","","Unhealthy","1231","health_rating","strussel","-1","7","","","","",""
"","1269","","1269","500","stim","single-stim-button","11","3595252","0.0-10.0","dietary_decision","true","0","","Neutral","1269","health_rating","Ghiradelli","0","8","","","","",""
"","1181","","1181","500","stim","single-stim-button","12","3596934","0.0-11.0","dietary_decision","true","0","","Unhealthy","1181","health_rating","KitKat","-1","9","","","","",""
"","1326","","1326","500","stim","single-stim-button","13","3598762","0.0-12.0","dietary_decision","true","0","","Very_Unhealthy","1326","health_rating","cellery","-2","10","","","","",""
"","1087","","1087","500","stim","single-stim-button","14","3600349","0.0-13.0","dietary_decision","true","0","","Unhealthy","1087","health_rating","Lindt","-1","11","","","","",""
"","2088","","2088","500","stim","single-stim-button","15","3602939","0.0-14.0","dietary_decision","true","0","","Unhealthy","2088","health_rating","Reeses","-1","12","","","","",""
"","1107","","1107","500","stim","single-stim-button","16","3604546","0.0-15.0","dietary_decision","true","0","","Unhealthy","1107","health_rating","laysclassic","-1","13","","","","",""
"","1263","","1263","500","stim","single-stim-button","17","3606310","0.0-16.0","dietary_decision","true","0","","Very_Healthy","1263","health_rating","banana","2","14","","","","",""
"","1464","","1464","500","stim","single-stim-button","18","3608275","0.0-17.0","dietary_decision","true","0","","Unhealthy","1464","health_rating","slimfastC","-1","15","","","","",""
"","1215","","1215","500","stim","single-stim-button","19","3609991","0.0-18.0","dietary_decision","true","0","","Unhealthy","1215","health_rating","Oreos","-1","16","","","","",""
"","2015","","2015","500","stim","single-stim-button","20","3612507","0.0-19.0","dietary_decision","true","0","","Neutral","2015","health_rating","RiceKrispyTreat","0","17","","","","",""
"","1577","","1577","500","stim","single-stim-button","21","3614586","0.0-20.0","dietary_decision","true","0","","Neutral","1577","health_rating","cranberries","0","18","","","","",""
"","1523","","1523","500","stim","single-stim-button","22","3616610","0.0-21.0","dietary_decision","true","0","","Neutral","1523","health_rating","blueberryyogart","0","19","","","","",""
"","2103","","2103","500","stim","single-stim-button","23","3619215","0.0-22.0","dietary_decision","true","0","","Neutral","2103","health_rating","orangejello","0","20","","","","",""
"","2864","","2864","500","stim","single-stim-button","24","3622580","0.0-23.0","dietary_decision","true","0","","Healthy","2864","health_rating","frozenyogart","1","21","","","","",""
"","1756","","1756","500","stim","single-stim-button","25","3624838","0.0-24.0","dietary_decision","true","0","","Healthy","1756","health_rating","carrots","1","22","","","","",""
"","954","","954","500","stim","single-stim-button","26","3626294","0.0-25.0","dietary_decision","true","0","","Unhealthy","954","health_rating","HoHo","-1","23","","","","",""
"","1140","","1140","500","stim","single-stim-button","27","3627936","0.0-26.0","dietary_decision","true","0","","Healthy","1140","health_rating","strawberries","1","24","","","","",""
"","1383","","1383","500","stim","single-stim-button","28","3629821","0.0-27.0","dietary_decision","true","0","","Unhealthy","1383","health_rating","ruffles","-1","25","","","","",""
"","1934","","1934","500","stim","single-stim-button","29","3632256","0.0-28.0","dietary_decision","true","0","","Neutral","1934","health_rating","sbcrackers","0","26","","","","",""
"","1595","","1595","500","stim","single-stim-button","30","3634353","0.0-29.0","dietary_decision","true","0","","Unhealthy","1595","health_rating","wwmuffin","-1","27","","","","",""
"","1286","","1286","500","stim","single-stim-button","31","3636140","0.0-30.0","dietary_decision","true","0","","Unhealthy","1286","health_rating","slimfastV","-1","28","","","","",""
"","1650","","1650","500","stim","single-stim-button","32","3638292","0.0-31.0","dietary_decision","true","0","","Very_Healthy","1650","health_rating","whitegrapes","2","29","","","","",""
