"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","mouse_click","stim_duration","exp_stage","stim","coded_response","trial_num","reference","stim_rating","reference_rating","responses","credit_var"
"<div class = centerbox><p class = ""center-block-text"">Welcome to the experiment. This task will take around 15 minutes. Press <strong>enter</strong> to begin.</p></div>","2051","13","2051","0","instruction","poldrack-text","0","2052","0.0-0.0-0.0","dietary_decision","true","0","","","","","","","","","","","",""
"","1543","","","","instruction","poldrack-instructions","1","3595","0.0-0.0-1.0","dietary_decision","true","0","[{""page_index"":0,""viewing_time"":1543}]","","","","","","","","","","",""
"<div class = centerbox><p class = ""center-block-text"">In the next block of trials, rate the tastiness of each food item without regard for its healthiness. Press <strong>enter</strong> to begin.</p></div>","1431","13","1431","500","start_taste","poldrack-text","2","6029","0.0-1.0","dietary_decision","true","0","","","","","","","","","","","",""
"","1712","","1712","500","stim","single-stim-button","3","8243","0.0-2.0","dietary_decision","true","0","","Very_Good","1712","taste_rating","orange","2","0","","","","",""
"","1359","","1359","500","stim","single-stim-button","4","10103","0.0-3.0","dietary_decision","true","0","","Good","1359","taste_rating","brocollincauliflower","1","1","","","","",""
"","1294","","1294","500","stim","single-stim-button","5","11899","0.0-4.0","dietary_decision","true","0","","Neutral","1294","taste_rating","carrots","0","2","","","","",""
"","1045","","1045","500","stim","single-stim-button","6","13445","0.0-5.0","dietary_decision","true","0","","Bad","1045","taste_rating","cookies","-1","3","","","","",""
"","1391","","1391","500","stim","single-stim-button","7","15337","0.0-6.0","dietary_decision","true","0","","Good","1391","taste_rating","laysclassic","1","4","","","","",""
"","914","","914","500","stim","single-stim-button","8","16753","0.0-7.0","dietary_decision","true","0","","Good","914","taste_rating","Oreos","1","5","","","","",""
"","988","","988","500","stim","single-stim-button","9","18242","0.0-8.0","dietary_decision","true","0","","Good","988","taste_rating","strussel","1","6","","","","",""
"","1609","","1609","500","stim","single-stim-button","10","20353","0.0-9.0","dietary_decision","true","0","","Good","1609","taste_rating","FlamingCheetos","1","7","","","","",""
"","1593","","1593","500","stim","single-stim-button","11","22448","0.0-10.0","dietary_decision","true","0","","Neutral","1593","taste_rating","ruffles","0","8","","","","",""
"","1416","","1416","500","stim","single-stim-button","12","24366","0.0-11.0","dietary_decision","true","0","","Neutral","1416","taste_rating","orangejello","0","9","","","","",""
"","1311","","1311","500","stim","single-stim-button","13","26178","0.0-12.0","dietary_decision","true","0","","Good","1311","taste_rating","keeblerrainbow","1","10","","","","",""
"","1787","","1787","500","stim","single-stim-button","14","28466","0.0-13.0","dietary_decision","true","0","","Good","1787","taste_rating","MrsFields","1","11","","","","",""
"","1410","","1410","500","stim","single-stim-button","15","30376","0.0-14.0","dietary_decision","true","0","","Good","1410","taste_rating","banana","1","12","","","","",""
"","1368","","1368","500","stim","single-stim-button","16","32245","0.0-15.0","dietary_decision","true","0","","Good","1368","taste_rating","100Grand","1","13","","","","",""
"","2386","","2386","500","stim","single-stim-button","17","35133","0.0-16.0","dietary_decision","true","0","","Very_Good","2386","taste_rating","ChipsAhoy","2","14","","","","",""
"","1821","","1821","500","stim","single-stim-button","18","37455","0.0-17.0","dietary_decision","true","0","","Very_Good","1821","taste_rating","reddelicious","2","15","","","","",""
"","1181","","1181","500","stim","single-stim-button","19","39137","0.0-18.0","dietary_decision","true","0","","Good","1181","taste_rating","RiceKrispyTreat","1","16","","","","",""
"","2265","","2265","500","stim","single-stim-button","20","41903","0.0-19.0","dietary_decision","true","0","","Neutral","2265","taste_rating","slimfastV","0","17","","","","",""
"","1951","","1951","500","stim","single-stim-button","21","44355","0.0-20.0","dietary_decision","true","0","","Good","1951","taste_rating","Doritosranch","1","18","","","","",""
"","1182","","1182","500","stim","single-stim-button","22","46039","0.0-21.0","dietary_decision","true","0","","Neutral","1182","taste_rating","sbcrackers","0","19","","","","",""
"","1279","","1279","500","stim","single-stim-button","23","47818","0.0-22.0","dietary_decision","true","0","","Bad","1279","taste_rating","cranberries","-1","20","","","","",""
"","1690","","1690","500","stim","single-stim-button","24","50010","0.0-23.0","dietary_decision","true","0","","Neutral","1690","taste_rating","wheatcrisps","0","21","","","","",""
"","1171","","1171","500","stim","single-stim-button","25","51683","0.0-24.0","dietary_decision","true","0","","Good","1171","taste_rating","uTwix","1","22","","","","",""
"","1620","","1620","500","stim","single-stim-button","26","53804","0.0-25.0","dietary_decision","true","0","","Good","1620","taste_rating","grannysmith","1","23","","","","",""
"","1456","","1456","500","stim","single-stim-button","27","55760","0.0-26.0","dietary_decision","true","0","","Bad","1456","taste_rating","sbdietbar","-1","24","","","","",""
"","1149","","1149","500","stim","single-stim-button","28","57411","0.0-27.0","dietary_decision","true","0","","Neutral","1149","taste_rating","wwbrownie","0","25","","","","",""
"","979","","979","500","stim","single-stim-button","29","58891","0.0-28.0","dietary_decision","true","0","","Neutral","979","taste_rating","HoHo","0","26","","","","",""
"","1028","","1028","500","stim","single-stim-button","30","60421","0.0-29.0","dietary_decision","true","0","","Good","1028","taste_rating","cherryicecream","1","27","","","","",""
"","1578","","1578","500","stim","single-stim-button","31","62500","0.0-30.0","dietary_decision","true","0","","Neutral","1578","taste_rating","mixedyogart","0","28","","","","",""
"","1295","","1295","500","stim","single-stim-button","32","64297","0.0-31.0","dietary_decision","true","0","","Good","1295","taste_rating","Lindt","1","29","","","","",""
"","946","","946","500","stim","single-stim-button","33","65744","0.0-32.0","dietary_decision","true","0","","Good","946","taste_rating","cookiencream","1","30","","","","",""
"","1804","","1804","500","stim","single-stim-button","34","68049","0.0-33.0","dietary_decision","true","0","","Very_Good","1804","taste_rating","whitegrapes","2","31","","","","",""
"","923","","923","500","stim","single-stim-button","35","69474","0.0-34.0","dietary_decision","true","0","","Good","923","taste_rating","slimfastC","1","32","","","","",""
"","1635","","1635","500","stim","single-stim-button","36","71609","0.0-35.0","dietary_decision","true","0","","Good","1635","taste_rating","strawberries","1","33","","","","",""
"","1860","","1860","500","stim","single-stim-button","37","73971","0.0-36.0","dietary_decision","true","0","","Neutral","1860","taste_rating","uToberlorone","0","34","","","","",""
"","1254","","1254","500","stim","single-stim-button","38","75727","0.0-37.0","dietary_decision","true","0","","Good","1254","taste_rating","KitKat","1","35","","","","",""
"","1504","","1504","500","stim","single-stim-button","39","77733","0.0-38.0","dietary_decision","true","0","","Good","1504","taste_rating","keeblerfudgestripes","1","36","","","","",""
"","1699","","1699","500","stim","single-stim-button","40","79933","0.0-39.0","dietary_decision","true","0","","Good","1699","taste_rating","specialKbar","1","37","","","","",""
