"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","mouse_click","stim_duration","exp_stage","stim","coded_response","trial_num","reference","stim_rating","reference_rating","responses","credit_var"
"<div class = centerbox><p class = ""center-block-text"">Welcome to the experiment. This task will take around 15 minutes. Press <strong>enter</strong> to begin.</p></div>","4659","13","4659","0","instruction","poldrack-text","0","4661","0.0-0.0-0.0","dietary_decision","true","0","","","","","","","","","","","",""
"","15399","","","","instruction","poldrack-instructions","1","20060","0.0-0.0-1.0","dietary_decision","true","0","[{""page_index"":0,""viewing_time"":15398}]","","","","","","","","","","",""
"<div class = centerbox><p class = ""center-block-text"">In the next block of trials, rate the healthiness of each food item without regard for its taste. Press <strong>enter</strong> to begin.</p></div>","6289","13","6289","500","start_health","poldrack-text","2","27353","0.0-1.0","dietary_decision","true","0","","","","","","","","","","","",""
"","-1","","4000","500","stim","single-stim-button","3","31872","0.0-2.0","dietary_decision","true","0","","-1","4000","health_rating","MrsFields","NaN","0","","","","",""
"","2344","","2344","500","stim","single-stim-button","4","34729","0.0-3.0","dietary_decision","true","0","","Unhealthy","2344","health_rating","cherryicecream","-1","1","","","","",""
"","1821","","1821","500","stim","single-stim-button","5","37059","0.0-4.0","dietary_decision","true","0","","Unhealthy","1821","health_rating","uTwix","-1","2","","","","",""
"","1760","","1760","500","stim","single-stim-button","6","39327","0.0-5.0","dietary_decision","true","0","","Very_Healthy","1760","health_rating","banana","2","3","","","","",""
"","2042","","2042","500","stim","single-stim-button","7","41871","0.0-6.0","dietary_decision","true","0","","Unhealthy","2042","health_rating","HoHo","-1","4","","","","",""
"","1624","","1624","500","stim","single-stim-button","8","44010","0.0-7.0","dietary_decision","true","0","","Unhealthy","1624","health_rating","KitKat","-1","5","","","","",""
"","2106","","2106","500","stim","single-stim-button","9","46619","0.0-8.0","dietary_decision","true","0","","Unhealthy","2106","health_rating","100Grand","-1","6","","","","",""
"","2302","","2302","500","stim","single-stim-button","10","49424","0.0-9.0","dietary_decision","true","0","","Very_Healthy","2302","health_rating","sbdietbar","2","7","","","","",""
"","2330","","2330","500","stim","single-stim-button","11","52261","0.0-10.0","dietary_decision","true","0","","Unhealthy","2330","health_rating","wwbrownie","-1","8","","","","",""
"","2176","","2176","500","stim","single-stim-button","12","54939","0.0-11.0","dietary_decision","true","0","","Neutral","2176","health_rating","orangejello","0","9","","","","",""
"","2014","","2014","500","stim","single-stim-button","13","57468","0.0-12.0","dietary_decision","true","0","","Unhealthy","2014","health_rating","laysclassic","-1","10","","","","",""
