"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","mouse_click","stim_duration","exp_stage","stim","coded_response","trial_num","reference","stim_rating","reference_rating","responses","credit_var"
"<div class = centerbox><p class = ""center-block-text"">Welcome to the experiment. This task will take around 15 minutes. Press <strong>enter</strong> to begin.</p></div>","2650","13","2650","0","instruction","poldrack-text","0","2651","0.0-0.0-0.0","dietary_decision","true","0","","","","","","","","","","","",""
"","5431","","","","instruction","poldrack-instructions","1","8083","0.0-0.0-1.0","dietary_decision","true","0","[{""page_index"":0,""viewing_time"":5431}]","","","","","","","","","","",""
"<div class = centerbox><p class = ""center-block-text"">In the next block of trials, rate the tastiness of each food item without regard for its healthiness. Press <strong>enter</strong> to begin.</p></div>","2768","13","2768","500","start_taste","poldrack-text","2","11866","0.0-1.0","dietary_decision","true","0","","","","","","","","","","","",""
"","-1","","4000","500","stim","single-stim-button","3","16384","0.0-2.0","dietary_decision","true","0","","-1","4000","taste_rating","Oreos","NaN","0","","","","",""
"","1115","","1115","500","stim","single-stim-button","4","18006","0.0-3.0","dietary_decision","true","0","","Good","1115","taste_rating","Doritosranch","1","1","","","","",""
"","2167","","2167","500","stim","single-stim-button","5","20679","0.0-4.0","dietary_decision","true","0","","Good","2167","taste_rating","cherryicecream","1","2","","","","",""
"","1793","","1793","500","stim","single-stim-button","6","22987","0.0-5.0","dietary_decision","true","0","","Good","1793","taste_rating","whitegrapes","1","3","","","","",""
"","2983","","2983","500","stim","single-stim-button","7","26478","0.0-6.0","dietary_decision","true","0","","Good","2983","taste_rating","frozenyogart","1","4","","","","",""
"","1394","","1394","500","stim","single-stim-button","8","28387","0.0-7.0","dietary_decision","true","0","","Good","1394","taste_rating","redgrapes","1","5","","","","",""
"","1141","","1141","500","stim","single-stim-button","9","30041","0.0-8.0","dietary_decision","true","0","","Good","1141","taste_rating","orange","1","6","","","","",""
"","2159","","2159","500","stim","single-stim-button","10","32713","0.0-9.0","dietary_decision","true","0","","Good","2159","taste_rating","cranberries","1","7","","","","",""
"","2274","","2274","500","stim","single-stim-button","11","35489","0.0-10.0","dietary_decision","true","0","","Bad","2274","taste_rating","slimfastC","-1","8","","","","",""
"","1586","","1586","500","stim","single-stim-button","12","37579","0.0-11.0","dietary_decision","true","0","","Very_Good","1586","taste_rating","KitKat","2","9","","","","",""
"","1723","","1723","500","stim","single-stim-button","13","39809","0.0-12.0","dietary_decision","true","0","","Neutral","1723","taste_rating","cellery","0","10","","","","",""
"","1948","","1948","500","stim","single-stim-button","14","42269","0.0-13.0","dietary_decision","true","0","","Good","1948","taste_rating","icecreamsandwich","1","11","","","","",""
