"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","mouse_click","stim_duration","exp_stage","stim","coded_response","trial_num","reference","stim_rating","reference_rating","responses","credit_var"
"<div class = centerbox><p class = ""center-block-text"">Welcome to the experiment. This task will take around 15 minutes. Press <strong>enter</strong> to begin.</p></div>","5411","13","5411","0","instruction","poldrack-text","0","5419","0.0-0.0-0.0","dietary_decision","true","0","","","","","","","","","","","",""
"","13468","","","","instruction","poldrack-instructions","1","18888","0.0-0.0-1.0","dietary_decision","true","0","[{""page_index"":0,""viewing_time"":13467}]","","","","","","","","","","",""
"<div class = centerbox><p class = ""center-block-text"">In the next block of trials, rate the tastiness of each food item without regard for its healthiness. Press <strong>enter</strong> to begin.</p></div>","5664","13","5664","500","start_taste","poldrack-text","2","25560","0.0-1.0","dietary_decision","true","0","","","","","","","","","","","",""
"","-1","","4000","500","stim","single-stim-button","3","30076","0.0-2.0","dietary_decision","true","0","","-1","4000","taste_rating","uToberlorone","NaN","0","","","","",""
"","-1","","4000","500","stim","single-stim-button","4","34594","0.0-3.0","dietary_decision","true","0","","-1","4000","taste_rating","wheatcrisps","NaN","1","","","","",""
"","2064","","2064","500","stim","single-stim-button","5","37163","0.0-4.0","dietary_decision","true","0","","Very_Good","2064","taste_rating","banana","2","2","","","","",""
"","3240","","3240","500","stim","single-stim-button","6","40914","0.0-5.0","dietary_decision","true","0","","Good","3240","taste_rating","cellery","1","3","","","","",""
"","2829","","2829","500","stim","single-stim-button","7","44245","0.0-6.0","dietary_decision","true","0","","Very_Good","2829","taste_rating","ffraspsorbet","2","4","","","","",""
"","1427","","1427","500","stim","single-stim-button","8","46187","0.0-7.0","dietary_decision","true","0","","Very_Good","1427","taste_rating","cherryicecream","2","5","","","","",""
"","2959","","2959","500","stim","single-stim-button","9","49651","0.0-8.0","dietary_decision","true","0","","Neutral","2959","taste_rating","sbcrackers","0","6","","","","",""
"","2213","","2213","500","stim","single-stim-button","10","52366","0.0-9.0","dietary_decision","true","0","","Very_Good","2213","taste_rating","cranberries","2","7","","","","",""
"","1410","","1410","500","stim","single-stim-button","11","54287","0.0-10.0","dietary_decision","true","0","","Very_Good","1410","taste_rating","HoHo","2","8","","","","",""
"","2126","","2126","500","stim","single-stim-button","12","56918","0.0-11.0","dietary_decision","true","0","","Good","2126","taste_rating","redgrapes","1","9","","","","",""
"","2325","","2325","500","stim","single-stim-button","13","59745","0.0-12.0","dietary_decision","true","0","","Good","2325","taste_rating","RiceKrispyTreat","1","10","","","","",""
"","1955","","1955","500","stim","single-stim-button","14","62210","0.0-13.0","dietary_decision","true","0","","Neutral","1955","taste_rating","strawberries","0","11","","","","",""
"","2758","","2758","500","stim","single-stim-button","15","65479","0.0-14.0","dietary_decision","true","0","","Good","2758","taste_rating","wwbrownie","1","12","","","","",""
"","3717","","3717","500","stim","single-stim-button","16","69703","0.0-15.0","dietary_decision","true","0","","Neutral","3717","taste_rating","FlamingCheetos","0","13","","","","",""
"","1864","","1864","500","stim","single-stim-button","17","72071","0.0-16.0","dietary_decision","true","0","","Very_Good","1864","taste_rating","frozenyogart","2","14","","","","",""
"","3841","","3841","500","stim","single-stim-button","18","76425","0.0-17.0","dietary_decision","true","0","","Very_Good","3841","taste_rating","reddelicious","2","15","","","","",""
"","1731","","1731","500","stim","single-stim-button","19","78669","0.0-18.0","dietary_decision","true","0","","Very_Good","1731","taste_rating","whitegrapes","2","16","","","","",""
"","3191","","3191","500","stim","single-stim-button","20","82364","0.0-19.0","dietary_decision","true","0","","Good","3191","taste_rating","raisins","1","17","","","","",""
"","1991","","1991","500","stim","single-stim-button","21","84861","0.0-20.0","dietary_decision","true","0","","Neutral","1991","taste_rating","strussel","0","18","","","","",""
"","3245","","3245","500","stim","single-stim-button","22","88612","0.0-21.0","dietary_decision","true","0","","Good","3245","taste_rating","keeblerrainbow","1","19","","","","",""
"","1968","","1968","500","stim","single-stim-button","23","91094","0.0-22.0","dietary_decision","true","0","","Neutral","1968","taste_rating","mixedyogart","0","20","","","","",""
"","1412","","1412","500","stim","single-stim-button","24","93013","0.0-23.0","dietary_decision","true","0","","Very_Good","1412","taste_rating","Ghiradelli","2","21","","","","",""
"","1613","","1613","500","stim","single-stim-button","25","95129","0.0-24.0","dietary_decision","true","0","","Good","1613","taste_rating","brocollincauliflower","1","22","","","","",""
"","1006","","1006","500","stim","single-stim-button","26","96647","0.0-25.0","dietary_decision","true","0","","Good","1006","taste_rating","FamousAmos","1","23","","","","",""
"","1410","","1410","500","stim","single-stim-button","27","98561","0.0-26.0","dietary_decision","true","0","","Good","1410","taste_rating","grannysmith","1","24","","","","",""
"","987","","987","500","stim","single-stim-button","28","100054","0.0-27.0","dietary_decision","true","0","","Good","987","taste_rating","specialKbar","1","25","","","","",""
"","1146","","1146","500","stim","single-stim-button","29","101712","0.0-28.0","dietary_decision","true","0","","Good","1146","taste_rating","cookiencream","1","26","","","","",""
"","2112","","2112","500","stim","single-stim-button","30","104337","0.0-29.0","dietary_decision","true","0","","Good","2112","taste_rating","blueberryyogart","1","27","","","","",""
"","788","","788","500","stim","single-stim-button","31","105629","0.0-30.0","dietary_decision","true","0","","Good","788","taste_rating","ChipsAhoy","1","28","","","","",""
"","1677","","1677","500","stim","single-stim-button","32","107811","0.0-31.0","dietary_decision","true","0","","Good","1677","taste_rating","keeblerfudgestripes","1","29","","","","",""
"","1813","","1813","500","stim","single-stim-button","33","110137","0.0-32.0","dietary_decision","true","0","","Neutral","1813","taste_rating","ruffles","0","30","","","","",""
"","1495","","1495","500","stim","single-stim-button","34","112135","0.0-33.0","dietary_decision","true","0","","Very_Good","1495","taste_rating","Oreos","2","31","","","","",""
"","1211","","1211","500","stim","single-stim-button","35","113859","0.0-34.0","dietary_decision","true","0","","Very_Good","1211","taste_rating","icecreamsandwich","2","32","","","","",""
"","1667","","1667","500","stim","single-stim-button","36","116029","0.0-35.0","dietary_decision","true","0","","Neutral","1667","taste_rating","uTwix","0","33","","","","",""
"","2662","","2662","500","stim","single-stim-button","37","119196","0.0-36.0","dietary_decision","true","0","","Very_Good","2662","taste_rating","orange","2","34","","","","",""
"","1560","","1560","500","stim","single-stim-button","38","121261","0.0-37.0","dietary_decision","true","0","","Very_Good","1560","taste_rating","Reeses","2","35","","","","",""
"","911","","911","500","stim","single-stim-button","39","122679","0.0-38.0","dietary_decision","true","0","","Very_Good","911","taste_rating","slimfastV","2","36","","","","",""
"","1012","","1012","500","stim","single-stim-button","40","124204","0.0-39.0","dietary_decision","true","0","","Very_Good","1012","taste_rating","Lindt","2","37","","","","",""
"","922","","922","500","stim","single-stim-button","41","125637","0.0-40.0","dietary_decision","true","0","","Very_Good","922","taste_rating","KitKat","2","38","","","","",""
"","1329","","1329","500","stim","single-stim-button","42","127469","0.0-41.0","dietary_decision","true","0","","Very_Good","1329","taste_rating","orangejello","2","39","","","","",""
"","1203","","1203","500","stim","single-stim-button","43","129177","0.0-42.0","dietary_decision","true","0","","Very_Good","1203","taste_rating","MrsFields","2","40","","","","",""
"","644","","644","500","stim","single-stim-button","44","130329","0.0-43.0","dietary_decision","true","0","","Very_Good","644","taste_rating","butterfinger","2","41","","","","",""
"","855","","855","500","stim","single-stim-button","45","131694","0.0-44.0","dietary_decision","true","0","","Good","855","taste_rating","Doritosranch","1","42","","","","",""
"","1115","","1115","500","stim","single-stim-button","46","133315","0.0-45.0","dietary_decision","true","0","","Very_Good","1115","taste_rating","wwmuffin","2","43","","","","",""
"","902","","902","500","stim","single-stim-button","47","134721","0.0-46.0","dietary_decision","true","0","","Good","902","taste_rating","slimfastC","1","44","","","","",""
"","1856","","1856","500","stim","single-stim-button","48","137079","0.0-47.0","dietary_decision","true","0","","Good","1856","taste_rating","carrots","1","45","","","","",""
"","1094","","1094","500","stim","single-stim-button","49","138687","0.0-48.0","dietary_decision","true","0","","Good","1094","taste_rating","cookies","1","46","","","","",""
"","762","","762","500","stim","single-stim-button","50","139953","0.0-49.0","dietary_decision","true","0","","Good","762","taste_rating","100Grand","1","47","","","","",""
"","728","","728","500","stim","single-stim-button","51","141184","0.0-50.0","dietary_decision","true","0","","Good","728","taste_rating","laysclassic","1","48","","","","",""
"","833","","833","500","stim","single-stim-button","52","142529","0.0-51.0","dietary_decision","true","0","","Good","833","taste_rating","sbdietbar","1","49","","","","",""
"<div class = centerbox><p class = ""center-block-text"">In the next block of trials, rate the healthiness of each food item without regard for its taste. Press <strong>enter</strong> to begin.</p></div>","5505","13","5505","500","start_health","poldrack-text","53","148539","0.0-52.0","dietary_decision","true","0","","","","","","","","","","","",""
"","2434","","2434","500","stim","single-stim-button","54","151475","0.0-53.0","dietary_decision","true","0","","Healthy","2434","health_rating","whitegrapes","1","0","","","","",""
"","2344","","2344","500","stim","single-stim-button","55","154334","0.0-54.0","dietary_decision","true","0","","Neutral","2344","health_rating","cherryicecream","0","1","","","","",""
"","2845","","2845","500","stim","single-stim-button","56","157696","0.0-55.0","dietary_decision","true","0","","Neutral","2845","health_rating","wheatcrisps","0","2","","","","",""
"","1305","","1305","500","stim","single-stim-button","57","159506","0.0-56.0","dietary_decision","true","0","","Neutral","1305","health_rating","mixedyogart","0","3","","","","",""
"","1614","","1614","500","stim","single-stim-button","58","161622","0.0-57.0","dietary_decision","true","0","","Neutral","1614","health_rating","strussel","0","4","","","","",""
"","1067","","1067","500","stim","single-stim-button","59","163195","0.0-58.0","dietary_decision","true","0","","Neutral","1067","health_rating","FamousAmos","0","5","","","","",""
"","1435","","1435","500","stim","single-stim-button","60","165136","0.0-59.0","dietary_decision","true","0","","Neutral","1435","health_rating","uTwix","0","6","","","","",""
"","998","","998","500","stim","single-stim-button","61","166639","0.0-60.0","dietary_decision","true","0","","Neutral","998","health_rating","slimfastV","0","7","","","","",""
"","1296","","1296","500","stim","single-stim-button","62","168440","0.0-61.0","dietary_decision","true","0","","Neutral","1296","health_rating","carrots","0","8","","","","",""
"","1228","","1228","500","stim","single-stim-button","63","170170","0.0-62.0","dietary_decision","true","0","","Neutral","1228","health_rating","cellery","0","9","","","","",""
"","1629","","1629","500","stim","single-stim-button","64","172311","0.0-63.0","dietary_decision","true","0","","Healthy","1629","health_rating","frozenyogart","1","10","","","","",""
"","1505","","1505","500","stim","single-stim-button","65","174321","0.0-64.0","dietary_decision","true","0","","Neutral","1505","health_rating","wwbrownie","0","11","","","","",""
"","995","","995","500","stim","single-stim-button","66","175830","0.0-65.0","dietary_decision","true","0","","Neutral","995","health_rating","sbcrackers","0","12","","","","",""
"","1744","","1744","500","stim","single-stim-button","67","178086","0.0-66.0","dietary_decision","true","0","","Unhealthy","1744","health_rating","FlamingCheetos","-1","13","","","","",""
"","1122","","1122","500","stim","single-stim-button","68","179713","0.0-67.0","dietary_decision","true","0","","Unhealthy","1122","health_rating","Doritosranch","-1","14","","","","",""
"","2423","","2423","500","stim","single-stim-button","69","182645","0.0-68.0","dietary_decision","true","0","","Healthy","2423","health_rating","specialKbar","1","15","","","","",""
"","1328","","1328","500","stim","single-stim-button","70","184487","0.0-69.0","dietary_decision","true","0","","Healthy","1328","health_rating","cookies","1","16","","","","",""
"","1496","","1496","500","stim","single-stim-button","71","186496","0.0-70.0","dietary_decision","true","0","","Healthy","1496","health_rating","butterfinger","1","17","","","","",""
"","1958","","1958","500","stim","single-stim-button","72","188962","0.0-71.0","dietary_decision","true","0","","Healthy","1958","health_rating","brocollincauliflower","1","18","","","","",""
"","3153","","3153","500","stim","single-stim-button","73","192620","0.0-72.0","dietary_decision","true","0","","Neutral","3153","health_rating","orangejello","0","19","","","","",""
